train_loss_step,validation_loss,elbo_validation,reconstruction_loss_validation,kl_local_validation,kl_global_validation,train_loss_epoch,elbo_train,reconstruction_loss_train,kl_local_train,kl_global_train
694.8696899414062,700.922607421875,771.7915649414062,700.922607421875,70.86897277832031,0.0,731.0275268554688,802.0006103515625,731.0275268554688,70.97306060791016,0.0
696.1470336914062,697.284423828125,767.7367553710938,697.1078491210938,70.6289291381836,0.0,725.081298828125,795.92333984375,724.903564453125,71.019775390625,0.0
698.5839233398438,695.1185913085938,765.7113037109375,694.763916015625,70.94740295410156,0.0,721.558349609375,792.0955200195312,721.2037353515625,70.89178466796875,0.0
685.23388671875,692.981689453125,763.282958984375,692.450439453125,70.83253479003906,0.0,719.7796020507812,790.1602172851562,719.247802734375,70.91242980957031,0.0
711.2233276367188,691.8377075195312,762.1701049804688,691.1273193359375,71.04277038574219,0.0,718.0297241210938,788.2298583984375,717.3206176757812,70.90924072265625,0.0
708.0440673828125,690.134033203125,760.07763671875,689.2487182617188,70.82890319824219,0.0,717.1383056640625,787.2352294921875,716.2510375976562,70.98422241210938,0.0
696.1158447265625,689.8126220703125,759.6177978515625,688.74951171875,70.86827850341797,0.0,716.3721923828125,786.225830078125,715.3084106445312,70.91744232177734,0.0
691.1136474609375,689.718017578125,759.5181274414062,688.4747924804688,71.04331970214844,0.0,715.5392456054688,785.241455078125,714.297607421875,70.94386291503906,0.0
754.7114868164062,689.4636840820312,758.9266967773438,688.0460815429688,70.880615234375,0.0,714.9331665039062,784.450927734375,713.5144653320312,70.93643188476562,0.0
633.4317626953125,687.7273559570312,757.1109619140625,686.1301879882812,70.98078155517578,0.0,714.3948974609375,783.7362060546875,712.7988891601562,70.93732452392578,0.0
699.8700561523438,688.1736450195312,757.2929077148438,686.4013671875,70.89151763916016,0.0,714.2704467773438,783.400390625,712.4979858398438,70.90239715576172,0.0
708.408203125,687.8466186523438,756.8677978515625,685.894775390625,70.97305297851562,0.0,713.8824462890625,782.9534912109375,711.9293212890625,71.0241470336914,0.0
763.7950439453125,688.1526489257812,756.9946899414062,686.0235595703125,70.97114562988281,0.0,713.58544921875,782.46142578125,711.4554443359375,71.00598907470703,0.0
721.9251708984375,687.8428955078125,756.733642578125,685.5287475585938,71.20487976074219,0.0,713.6659545898438,782.3135986328125,711.3599853515625,70.95359802246094,0.0
740.3903198242188,688.626953125,757.3070678710938,686.1359252929688,71.17113494873047,0.0,713.4132080078125,781.9381103515625,710.9278564453125,71.01026153564453,0.0
720.5266723632812,687.7879028320312,756.1549072265625,685.1242065429688,71.03072357177734,0.0,713.3618774414062,781.6884155273438,710.6997680664062,70.98863220214844,0.0
712.980224609375,687.6680297851562,755.5972900390625,684.8375854492188,70.75971221923828,0.0,713.1466674804688,781.3944702148438,710.302978515625,71.09149932861328,0.0
718.3568725585938,687.16259765625,755.06494140625,684.148681640625,70.91624450683594,0.0,712.9345092773438,780.8832397460938,709.9185791015625,70.96467590332031,0.0
704.1730346679688,687.3472290039062,754.975830078125,684.1605834960938,70.81522369384766,0.0,713.1364135742188,780.9028930664062,709.9432373046875,70.95964050292969,0.0
