train_loss_step,validation_loss,elbo_validation,reconstruction_loss_validation,kl_local_validation,kl_global_validation,validation_classification_loss,validation_accuracy,validation_f1_score,validation_calibration_error,train_loss_epoch,elbo_train,reconstruction_loss_train,kl_local_train,kl_global_train,train_classification_loss,train_accuracy,train_f1_score,train_calibration_error
527.1869506835938,546.1787719726562,576.0881958007812,539.704345703125,36.38386154174805,0.0,0.12948811054229736,0.9579170346260071,0.9579170346260071,0.04442908987402916,554.2416381835938,546.676025390625,529.1747436523438,17.501256942749023,0.0,0.5013368725776672,0.9094259142875671,0.9094259142875671,0.19720523059368134
529.9042358398438,537.0811767578125,599.3528442382812,532.297119140625,67.05572509765625,0.0,0.09232928603887558,0.9657295346260071,0.9657295346260071,0.029232662171125412,525.0007934570312,574.0800170898438,521.4560546875,52.62398147583008,0.0,0.06826379150152206,0.9879066348075867,0.9879066348075867,0.04051408916711807
532.7734375,533.1035766601562,607.1173095703125,527.7872924804688,79.33003997802734,0.0,0.09839411824941635,0.9741382598876953,0.9741382598876953,0.025338605046272278,519.81689453125,591.114013671875,517.4682006835938,73.64578247070312,0.0,0.039610356092453,0.9916330575942993,0.9916330575942993,0.023168666288256645
561.138671875,532.3117065429688,609.7926025390625,525.9940185546875,83.79855346679688,0.0,0.1137830913066864,0.9715790748596191,0.9715790748596191,0.026582231745123863,517.4949951171875,597.2857666015625,515.26318359375,82.02259063720703,0.0,0.03233208507299423,0.992333710193634,0.992333710193634,0.016394618898630142
493.8866271972656,529.9407958984375,608.6069946289062,523.838623046875,84.76838684082031,0.0,0.10508830845355988,0.972262442111969,0.972262442111969,0.03094693459570408,516.384765625,598.9970703125,513.7932739257812,85.20381927490234,0.0,0.0347871258854866,0.9907699823379517,0.9907699823379517,0.015068872831761837
508.0662841796875,528.3569946289062,606.8902587890625,522.9102172851562,83.98004913330078,0.0,0.08794117718935013,0.9832303524017334,0.9832303524017334,0.02161542885005474,515.0674438476562,598.3438110351562,512.7579345703125,85.58589935302734,0.0,0.024795332923531532,0.993003785610199,0.993003785610199,0.012993925251066685
509.8744812011719,528.1039428710938,603.9922485351562,522.7067260742188,81.2855453491211,0.0,0.08355624973773956,0.976832389831543,0.976832389831543,0.021756509318947792,514.7135009765625,595.7884521484375,512.3296508789062,83.45879364013672,0.0,0.022640155628323555,0.9941776990890503,0.9941776990890503,0.010541009716689587
500.1773986816406,527.841552734375,600.6421508789062,521.34619140625,79.29596710205078,0.0,0.10215269029140472,0.9715790748596191,0.9715790748596191,0.02602481096982956,514.53125,593.168212890625,511.9717712402344,81.1964340209961,0.0,0.022769635543227196,0.9932577610015869,0.9932577610015869,0.010569698177278042
487.490478515625,526.212158203125,596.824462890625,521.0738525390625,75.75064086914062,0.0,0.07246527820825577,0.9806711673736572,0.9806711673736572,0.019862309098243713,514.7633666992188,590.0805053710938,511.65960693359375,78.42091369628906,0.0,0.030712513253092766,0.9922890067100525,0.9922890067100525,0.011610795743763447
517.0675659179688,526.3299560546875,594.7157592773438,520.548095703125,74.16768646240234,0.0,0.08226092159748077,0.978111982345581,0.978111982345581,0.020844196900725365,513.2944946289062,586.5579833984375,510.7790222167969,75.7789535522461,0.0,0.016211269423365593,0.9960663318634033,0.9960663318634033,0.0076853553764522076
496.5088806152344,526.480224609375,591.6239624023438,520.1200561523438,71.50390625,0.0,0.09144989401102066,0.9793915748596191,0.9793915748596191,0.02241574041545391,513.2236328125,584.1129760742188,510.7095947265625,73.40338897705078,0.0,0.013580338098108768,0.9963343739509583,0.9963343739509583,0.006810878869146109
