method,scope,n_query_cells,n_out_of_reference_types,n_out_of_reference_cells,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_f1_evaluable,n_evaluable_classes,evaluable_min_support,n_classes_true
pca_knn,all,300,0,0,0.8933333333333333,0.6074222684685968,0.6014991675586593,0.8854269881647276,0.8270613553931565,8,5,11
pca_knn,closed_set,300,0,0,0.8933333333333333,0.6074222684685968,0.6014991675586593,0.8854269881647276,0.8270613553931565,8,5,11
scanvi_scarches,all,300,0,0,0.06666666666666667,0.09090909090909091,0.011580775911986103,0.008492569002123142,0.01592356687898089,8,5,11
scanvi_scarches,closed_set,300,0,0,0.06666666666666667,0.09090909090909091,0.011580775911986103,0.008492569002123142,0.01592356687898089,8,5,11
