method,scope,n_query_cells,n_out_of_reference_types,n_out_of_reference_cells,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_f1_evaluable,n_evaluable_classes,evaluable_min_support,n_classes_true
pca_knn,all,3009,0,0,0.9518112329677634,0.7790232611997813,0.7949958628078776,0.9466183126674842,0.860550498987406,9,20,11
pca_knn,closed_set,3009,0,0,0.9518112329677634,0.7790232611997813,0.7949958628078776,0.9466183126674842,0.860550498987406,9,20,11
scanvi_scarches,all,3009,0,0,0.9667663675639747,0.9273061980635209,0.9198341172112492,0.9667494764070275,0.928110344787658,9,20,11
scanvi_scarches,closed_set,3009,0,0,0.9667663675639747,0.9273061980635209,0.9198341172112492,0.9667494764070275,0.928110344787658,9,20,11
