method,threshold,retained_cells,rejected_cells,coverage,accuracy_on_retained,balanced_accuracy_on_retained,macro_f1_on_retained,error_rate_on_retained,retained_out_of_reference_cells,mean_confidence
pca_knn,0.0,300,0,1.0,0.8933333333333333,0.6074222684685968,0.6014991675586593,0.10666666666666669,0,0.9174943560892511
pca_knn,0.5,296,4,0.9866666666666667,0.9054054054054054,0.7488473345706248,0.7445405220073184,0.09459459459459463,0,0.9242448935446582
pca_knn,0.9,221,79,0.7366666666666667,0.9864253393665159,0.8507936507936509,0.8195179306290417,0.013574660633484115,0,1.0
scanvi_scarches,0.0,300,0,1.0,0.06666666666666667,0.09090909090909091,0.011580775911986103,0.9333333333333333,0,0.17354541341463722
scanvi_scarches,0.5,0,300,0.0,,,,,0,
scanvi_scarches,0.9,0,300,0.0,,,,,0,
