method,scope,label,precision,recall,f1,support,in_reference
pca_knn,all,Adipocytes,1.0,1.0,1.0,6,True
pca_knn,all,Atrial_Cardiomyocyte,1.0,1.0,1.0,98,True
pca_knn,all,Endothelial,0.9681159420289855,0.9982068141063957,0.9829311359623308,1673,True
pca_knn,all,Fibroblast,0.9256198347107438,0.9655172413793104,0.9451476793248945,116,True
pca_knn,all,Lymphoid,0.978021978021978,0.978021978021978,0.978021978021978,182,True
pca_knn,all,Mesothelial,0.0,0.0,0.0,9,True
pca_knn,all,Myeloid,0.983957219251337,0.983957219251337,0.983957219251337,187,True
pca_knn,all,Neuronal,1.0,0.16666666666666666,0.2857142857142857,24,True
pca_knn,all,Pericytes,0.8412698412698413,0.8548387096774194,0.848,372,True
pca_knn,all,Smooth_muscle_cells,0.8777777777777778,0.6220472440944882,0.728110599078341,127,True
pca_knn,all,Ventricular_Cardiomyocyte,0.9862385321100917,1.0,0.9930715935334873,215,True
pca_knn,closed_set,Adipocytes,1.0,1.0,1.0,6,True
pca_knn,closed_set,Atrial_Cardiomyocyte,1.0,1.0,1.0,98,True
pca_knn,closed_set,Endothelial,0.9681159420289855,0.9982068141063957,0.9829311359623308,1673,True
pca_knn,closed_set,Fibroblast,0.9256198347107438,0.9655172413793104,0.9451476793248945,116,True
pca_knn,closed_set,Lymphoid,0.978021978021978,0.978021978021978,0.978021978021978,182,True
pca_knn,closed_set,Mesothelial,0.0,0.0,0.0,9,True
pca_knn,closed_set,Myeloid,0.983957219251337,0.983957219251337,0.983957219251337,187,True
pca_knn,closed_set,Neuronal,1.0,0.16666666666666666,0.2857142857142857,24,True
pca_knn,closed_set,Pericytes,0.8412698412698413,0.8548387096774194,0.848,372,True
pca_knn,closed_set,Smooth_muscle_cells,0.8777777777777778,0.6220472440944882,0.728110599078341,127,True
pca_knn,closed_set,Ventricular_Cardiomyocyte,0.9862385321100917,1.0,0.9930715935334873,215,True
scanvi_scarches,all,Adipocytes,0.8571428571428571,1.0,0.9230769230769231,6,True
scanvi_scarches,all,Atrial_Cardiomyocyte,0.98,1.0,0.98989898989899,98,True
scanvi_scarches,all,Endothelial,0.9869668246445498,0.99581589958159,0.991371615590598,1673,True
scanvi_scarches,all,Fibroblast,1.0,0.9655172413793104,0.9824561403508771,116,True
scanvi_scarches,all,Lymphoid,0.9623655913978495,0.9835164835164835,0.9728260869565217,182,True
scanvi_scarches,all,Mesothelial,0.8,0.8888888888888888,0.8421052631578947,9,True
scanvi_scarches,all,Myeloid,0.9837837837837838,0.9732620320855615,0.978494623655914,187,True
scanvi_scarches,all,Neuronal,0.8421052631578947,0.6666666666666666,0.7441860465116279,24,True
scanvi_scarches,all,Pericytes,0.9404761904761905,0.8494623655913979,0.8926553672316384,372,True
scanvi_scarches,all,Smooth_muscle_cells,0.7417218543046358,0.8818897637795275,0.8057553956834532,127,True
scanvi_scarches,all,Ventricular_Cardiomyocyte,0.9953488372093023,0.9953488372093023,0.9953488372093023,215,True
scanvi_scarches,closed_set,Adipocytes,0.8571428571428571,1.0,0.9230769230769231,6,True
scanvi_scarches,closed_set,Atrial_Cardiomyocyte,0.98,1.0,0.98989898989899,98,True
scanvi_scarches,closed_set,Endothelial,0.9869668246445498,0.99581589958159,0.991371615590598,1673,True
scanvi_scarches,closed_set,Fibroblast,1.0,0.9655172413793104,0.9824561403508771,116,True
scanvi_scarches,closed_set,Lymphoid,0.9623655913978495,0.9835164835164835,0.9728260869565217,182,True
scanvi_scarches,closed_set,Mesothelial,0.8,0.8888888888888888,0.8421052631578947,9,True
scanvi_scarches,closed_set,Myeloid,0.9837837837837838,0.9732620320855615,0.978494623655914,187,True
scanvi_scarches,closed_set,Neuronal,0.8421052631578947,0.6666666666666666,0.7441860465116279,24,True
scanvi_scarches,closed_set,Pericytes,0.9404761904761905,0.8494623655913979,0.8926553672316384,372,True
scanvi_scarches,closed_set,Smooth_muscle_cells,0.7417218543046358,0.8818897637795275,0.8057553956834532,127,True
scanvi_scarches,closed_set,Ventricular_Cardiomyocyte,0.9953488372093023,0.9953488372093023,0.9953488372093023,215,True
